Age,Education,YearsExperience,JobRole,Location,EmploymentType,CompanySize,Salary
49,Master's,14,Business Analyst,Noida,Full-time,Startup,1401000
23,Bachelor's,1,DevOps Engineer,Delhi,Full-time,Large,1104000
42,Bachelor's,11,Product Analyst,Chennai,Full-time,Large,1610000
29,Bachelor's,6,Database Administrator,Hyderabad,Full-time,Startup,1027000
48,Master's,14,DevOps Engineer,Chennai,Contract,Small,1751000
24,Bachelor's,1,Data Analyst,Ahmedabad,Full-time,Small,330000
51,Bachelor's,15,ML Engineer,Kolkata,Part-time,Large,1382000
45,Bachelor's,12,Software Engineer,Kolkata,Part-time,Large,850000
44,Bachelor's,10,DevOps Engineer,Chennai,Contract,Medium,1660000
29,Bachelor's,7,Software Engineer,Noida,Full-time,Small,1169000
42,Bachelor's,2,Business Analyst,Chennai,Full-time,Medium,1093000
35,Bachelor's,9,Data Scientist,Noida,Full-time,Medium,1553000
43,Bachelor's,6,Web Developer,Noida,Full-time,Startup,937000
26,Master's,3,Web Developer,Ahmedabad,Full-time,Small,802000
21,Bachelor's,0,Database Administrator,Pune,Full-time,Small,549000
53,PhD,23,Project Manager,Gurugram,Full-time,Small,3352000
32,Bachelor's,6,Software Engineer,Mumbai,Full-time,Startup,1053000
52,Master's,0,Data Analyst,Mumbai,Full-time,Large,907000
24,Master's,2,Software Engineer,Delhi,Full-time,Medium,977000
53,Bachelor's,8,Project Manager,Chennai,Full-time,Medium,1400000
23,Bachelor's,2,ML Engineer,Pune,Contract,Small,1087000
45,PhD,17,Product Analyst,Chennai,Full-time,Startup,2073000
22,Bachelor's,0,Business Analyst,Mumbai,Contract,Startup,669000
40,Master's,0,Software Engineer,Gurugram,Contract,Medium,926000
45,PhD,2,Data Analyst,Hyderabad,Full-time,Small,810000
28,Master's,6,Software Engineer,Chennai,Full-time,Small,1141000
28,Bachelor's,2,Business Analyst,Bengaluru,Full-time,Medium,758000
55,PhD,16,Business Analyst,Delhi,Full-time,Startup,2069000
51,PhD,2,Web Developer,Mumbai,Full-time,Small,813000
23,Bachelor's,1,Project Manager,Noida,Full-time,Medium,956000
37,Master's,7,Project Manager,,Full-time,Large,1964000
40,Bachelor's,0,Data Scientist,Noida,Full-time,Medium,1311000
42,Bachelor's,18,Project Manager,Ahmedabad,Contract,Small,1438000
53,Master's,7,Business Analyst,Noida,Full-time,Startup,926000
55,PhD,15,Product Analyst,Chennai,Contract,Small,1553000
21,Bachelor's,0,Project Manager,Kolkata,Full-time,Small,936000
25,Bachelor's,4,Product Analyst,Chennai,Full-time,Startup,809000
32,Master's,9,Business Analyst,Noida,Full-time,Medium,1522000
30,Master's,5,Data Analyst,Pune,Full-time,Medium,1103000
24,Bachelor's,3,ML Engineer,Hyderabad,Full-time,Medium,1433000
44,Bachelor's,11,Software Engineer,Bengaluru,Contract,Large,1833000
49,Bachelor's,12,,Chennai,Full-time,Small,1388000
49,Master's,25,Data Analyst,Chennai,Full-time,Startup,2243000
45,PhD,20,Web Developer,Ahmedabad,Full-time,Medium,1866000
55,Bachelor's,17,DevOps Engineer,Noida,Contract,Large,2234000
50,Bachelor's,16,Web Developer,Kolkata,Full-time,Large,1579000
32,Master's,8,Database Administrator,Noida,Part-time,Medium,700000
25,Master's,2,Web Developer,Mumbai,Full-time,Large,1043000
34,Bachelor's,9,ML Engineer,Hyderabad,Part-time,Medium,1009000
33,Bachelor's,7,Data Analyst,Ahmedabad,Full-time,Medium,841000
28,Master's,7,Project Manager,Pune,Full-time,Large,1979000
39,Bachelor's,11,Product Analyst,Ahmedabad,Full-time,Small,939000
48,Master's,25,DevOps Engineer,Kolkata,Full-time,Medium,2098000
45,Bachelor's,23,Business Analyst,Delhi,Contract,Large,2288000
41,Bachelor's,15,Business Analyst,Pune,Full-time,Large,2030000
51,Master's,0,Project Manager,Chennai,Contract,Startup,1002000
52,Master's,15,DevOps Engineer,Mumbai,Full-time,Startup,2041000
48,PhD,4,Project Manager,Bengaluru,Full-time,Small,1375000
49,Master's,12,Project Manager,Hyderabad,Full-time,Medium,2073000
53,Bachelor's,0,Software Engineer,Mumbai,Full-time,Small,758000
33,Bachelor's,0,Data Scientist,Bengaluru,Full-time,Startup,1050000
